,Length,AT,DA,SA,SRCE,DSTI
5378,350,2020-05-15 13:25:37.409103+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5379,281,2020-05-15 13:25:37.423922+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5380,154,2020-05-15 13:25:37.432398+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5381,154,2020-05-15 13:25:37.433986+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5382,154,2020-05-15 13:25:37.437910+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5383,1472,2020-05-15 13:25:37.445307+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5384,146,2020-05-15 13:25:37.445634+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5385,156,2020-05-15 13:25:37.445963+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5386,295,2020-05-15 13:25:37.453098+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
5387,663,2020-05-15 13:25:37.458638+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5388,147,2020-05-15 13:25:37.458999+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5389,146,2020-05-15 13:25:37.459150+02:00,e4:ce:8f:4c:29:ae,c4:ea:1d:e6:79:e8,Router2,Laptop
5390,390,2020-05-15 13:25:37.476262+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e9,Router,Phone1
5391,879,2020-05-15 13:25:37.476562+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
